,0,1,IDs
0,3.7543259298019747,2.0973192162604253,0
1,3.8276171342763394,2.012433503301091,0
2,3.8737747923982875,2.1423377197993494,0
3,3.9350249911628676,2.191456976245163,0
4,-9.126576760797192,-20.385060795869652,1
5,-8.609559859165987,1.771754562474194,2
6,1.636163507069835,0.829092772343447,0
7,1.2866011679377556,1.176791812651622,0
8,0.6486189808683491,1.5741290707586462,0
9,-0.1290690375413517,1.5113417089860322,0
10,-0.7881722891788493,0.2539041347783295,2
11,-0.9274645173534087,-0.97871409347251,2
12,-2.0642080448959503,-1.5411991954612267,2
13,-3.425741110972231,-0.08747688440649767,2
14,-4.660661689137887,-0.39394466785556315,2
15,-3.4524767547104056,-6.763980568500308,2
16,-4.290373783632609,2.1821349054415053,2
17,-0.7267046418663153,2.07806789451237,0
18,2.5874038645256623,2.415494233398931,0
19,2.931198827930231,2.0785595194647963,0
20,3.336417870489208,2.1221327728754846,0
21,3.7553130890382342,2.0871810102716153,0
22,3.2204975493145778,0.32823074217393,0
23,2.1041401566164843,0.7057784758000539,0
24,1.3039106278223844,0.5922351740287728,0
