Event,x,y
100m Backstroke,0.7450898542275062,0.5008442374589208
100m Breaststroke,0.7326734704042687,-0.659982968292459
100m Butterfly,0.7468126390583245,0.030772826156150526
100m Freestyle,0.732914243467441,0.7041029770620241
1500m Freestyle,0.7251420347725421,0.6664245130376977
200m Backstroke,0.6600841537236479,-0.9670254257337243
200m Breaststroke,0.7477901647544258,0.23745153363335497
200m Butterfly,0.750691213614541,-0.05237262926473486
200m Freestyle,0.7458467993215196,-0.5180725430252929
200m Medley,0.7399054978638304,-0.6065270616075183
400m Breaststroke,-0.24766863976772296,-1.619360743550835
400m Freestyle,0.740508621107615,0.46521921598363847
400m Medley,0.7460301580738682,-0.4532608824543345
4x100m Freestyle Relay,0.7153639513215304,0.8255213021645736
4x100m Medley Relay,0.7567039371064901,-0.34960390684500053
4x200m Freestyle Relay,0.7017376583379009,0.8307642217387118
50m Freestyle,0.5747310265290959,-1.0150504041928892
800m Freestyle,0.742811894463181,-0.41689447801407775
