Year,Team,Rank
1912,GER,7
1912,ANZ,6
1912,GBR,6
1912,USA,4
1912,CAN,2
1920,USA,13
1920,SWE,5
1920,AUS,2
1920,FIN,2
1920,GBR,2
1924,USA,19
1924,AUS,4
1924,GBR,4
1924,SWE,4
1924,BEL,1
1928,USA,11
1928,GBR,4
1928,GER,3
1928,JPN,3
1928,NED,3
1932,JPN,12
1932,USA,10
1932,AUS,2
1932,GBR,2
1932,DEN,1
1936,JPN,11
1936,USA,8
1936,GER,4
1936,NED,4
1936,DEN,2
1948,USA,14
1948,AUS,5
1948,DEN,4
1948,HUN,4
1948,FRA,2
1952,USA,10
1952,HUN,8
1952,FRA,3
1952,JPN,3
1952,NED,3
1956,AUS,14
1956,USA,11
1956,JPN,5
1956,GBR,2
1956,GER,2
1960,USA,15
1960,AUS,13
1960,GBR,5
1960,GER,4
1960,JPN,4
1964,USA,30
1964,AUS,9
1964,GER,6
1964,URS,3
1964,NLD,2
1968,USA,53
1968,AUS,8
1968,GDR,5
1968,URS,5
1968,CAN,4
1972,USA,43
1972,AUS,10
1972,GER,7
1972,GDR,5
1972,CAN,4
1976,USA,34
1976,GDR,17
1976,CAN,8
1976,URS,8
1976,GBR,3
1980,GDR,27
1980,URS,19
1980,AUS,7
1980,GBR,5
1980,SWE,5
1984,USA,34
1984,AUS,12
1984,CAN,9
1984,FRG,8
1984,GBR,5
1988,GDR,24
1988,USA,18
1988,URS,7
1988,HUN,6
1988,CHN,4
1992,USA,27
1992,GER,11
1992,AUS,9
1992,CHN,9
1992,HUN,9
1996,USA,23
1996,AUS,13
1996,GER,11
1996,RUS,8
1996,HUN,6
2000,USA,33
2000,AUS,17
2000,ITA,6
2000,NED,6
2000,JPN,4
2004,USA,27
2004,AUS,15
2004,JPN,8
2004,FRA,6
2004,GER,5
2008,USA,30
2008,AUS,20
2008,CHN,6
2008,FRA,6
2008,JPN,4
2012,USA,30
2012,CHN,11
2012,AUS,10
2012,JPN,10
2012,FRA,7
2016,USA,34
2016,AUS,9
2016,HUN,7
2016,CAN,6
2016,GBR,6
2020,USA,31
2020,AUS,20
2020,GBR,7
2020,CAN,6
2020,CHN,6
